r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
8.5462,7.096,0.6,14.647,12.076,0.4,227.21,2.38,0,dodecane,ethyl stearate,362.8
2.5755,2.588,0.6,14.4149,11.863,0.4,148.25,8.57,0,ethanol,ethyl oleate,292.3
8.5462,7.096,0.6,14.4149,11.863,0.4,226.41,2.38,0,dodecane,ethyl oleate,358.4
2.5755,2.588,0.6,14.1828,11.65,0.4,144.76,8.58,0,ethanol,ethyl linoleate,292.4
8.5462,7.096,0.6,14.1828,11.65,0.4,225.6,2.38,0,dodecane,ethyl linoleate,363.1
2.5755,2.588,0.6,5.8486,4.936,0.4,69.73,8.704065,1,ethanol,octane,277.95
4.531,3.976,0.6,5.8486,4.936,0.4,106.97,6.691212,1,methyl butyrate,octane,281.85
4.531,3.976,0.6,2.5755,2.588,0.4,77.31,8.173649,1,methyl butyrate,ethanol,279.85
4.531,3.976,0.6,5.8486,4.936,0.4,106.97,6.679722,1,propyl acetate,octane,281.85
4.531,3.976,0.6,2.5755,2.588,0.4,77.306,8.171052,1,propyl acetate,ethanol,279.85
3.9243,3.668,0.6,7.903,6.676,0.4,113.38,6.43,0,butanol,ethyl octanoate,318.23
3.9243,3.668,0.6,9.2518,7.756,0.4,124.6,6.41,0,butanol,ethyl decanoate,319.67
3.9243,3.668,0.6,10.6006,8.836,0.4,135.82,6.41,0,butanol,ethyl laurate,318.62
3.9243,3.668,0.6,11.9494,9.916,0.4,147.04,6.41,0,butanol,ethyl myristate,319.0
3.9243,3.668,0.6,13.2982,10.996,0.4,158.26,6.41,0,butanol,ethyl palmitate,319.28
2.5755,2.588,0.7,5.8486,4.936,0.3,62.32,8.811743,1,ethanol,octane,277.95
4.531,3.976,0.7,5.8486,4.936,0.3,105.76,6.430032,1,methyl butyrate,octane,281.85
4.531,3.976,0.7,2.5755,2.588,0.3,83.51,7.892047,1,methyl butyrate,ethanol,280.15
4.531,3.976,0.7,5.8486,4.936,0.3,105.76,6.412575,1,propyl acetate,octane,281.85
4.531,3.976,0.7,2.5755,2.588,0.3,83.512,7.888028,1,propyl acetate,ethanol,280.15
2.5755,2.588,0.78,8.5462,7.096,0.22,68.73,8.83,0,ethanol,dodecane,289.4
7.2286,6.136,0.8,8.5774,7.216,0.2,163.85,3.88,0,methyl octanoate,methyl decanoate,351.3
7.2286,6.136,0.8,9.9262,8.296,0.2,169.46,3.86,0,methyl octanoate,methyl laurate,351.9
7.2286,6.136,0.8,11.275,9.376,0.2,175.07,3.86,0,methyl octanoate,methyl myristate,352.7
7.2286,6.136,0.8,12.6238,10.456,0.2,180.68,3.86,0,methyl octanoate,methyl palmitate,352.6
7.2286,6.136,0.8,13.9726,11.536,0.2,186.29,3.86,0,methyl octanoate,methyl stearate,352.0
7.2286,6.136,0.8,13.7405,11.323,0.2,185.89,3.86,0,methyl octanoate,methyl oleate,353.5
8.5774,7.216,0.8,9.9262,8.296,0.2,191.9,1.63,0,methyl decanoate,methyl laurate,377.4
8.5774,7.216,0.8,11.275,9.376,0.2,197.51,1.61,0,methyl decanoate,methyl myristate,377.6
8.5774,7.216,0.8,12.6238,10.456,0.2,203.12,1.61,0,methyl decanoate,methyl palmitate,379.3
8.5774,7.216,0.8,13.9726,11.536,0.2,208.73,1.6,0,methyl decanoate,methyl stearate,378.1
8.5774,7.216,0.8,13.7405,11.323,0.2,208.33,1.6,0,methyl decanoate,methyl oleate,379.1
9.9262,8.296,0.8,11.275,9.376,0.2,219.95,-0.63,0,methyl laurate,methyl myristate,400.6
9.9262,8.296,0.8,12.6238,10.456,0.2,225.57,-0.66,0,methyl laurate,methyl palmitate,402.3
9.9262,8.296,0.8,13.9726,11.536,0.2,231.18,-0.66,0,methyl laurate,methyl stearate,402.8
9.9262,8.296,0.8,13.7405,11.323,0.2,230.77,-0.66,0,methyl laurate,methyl oleate,401.9
11.275,9.376,0.8,12.6238,10.456,0.2,248.01,-2.91,0,methyl myristate,methyl palmitate,422.3
11.275,9.376,0.8,13.9726,11.536,0.2,253.62,-2.93,0,methyl myristate,methyl stearate,423.4
11.275,9.376,0.8,13.7405,11.323,0.2,253.22,-2.93,0,methyl myristate,methyl oleate,423.2
12.6238,10.456,0.8,13.9726,11.536,0.2,276.06,-5.2,0,methyl palmitate,methyl stearate,443.3
7.903,6.676,0.8,10.6006,8.836,0.2,183.49,2.85,0,ethyl octanoate,ethyl laurate,359.0
7.903,6.676,0.8,11.9494,9.916,0.2,189.1,2.85,0,ethyl octanoate,ethyl myristate,359.3
7.903,6.676,0.8,13.2982,10.996,0.2,194.71,2.85,0,ethyl octanoate,ethyl palmitate,359.0
7.903,6.676,0.8,14.647,12.076,0.2,200.32,2.85,0,ethyl octanoate,ethyl stearate,360.0
7.903,6.676,0.8,14.4149,11.863,0.2,199.91,2.85,0,ethyl octanoate,ethyl oleate,359.8
7.903,6.676,0.8,14.1828,11.65,0.2,199.51,2.85,0,ethyl octanoate,ethyl linoleate,359.8
9.2518,7.756,0.8,11.9494,9.916,0.2,211.54,0.6,0,ethyl decanoate,ethyl myristate,384.9
9.2518,7.756,0.8,13.2982,10.996,0.2,217.15,0.6,0,ethyl decanoate,ethyl palmitate,385.8
9.2518,7.756,0.8,14.647,12.076,0.2,222.76,0.6,0,ethyl decanoate,ethyl stearate,385.0
9.2518,7.756,0.8,14.4149,11.863,0.2,222.36,0.6,0,ethyl decanoate,ethyl oleate,384.8
9.2518,7.756,0.8,14.1828,11.65,0.2,221.95,0.6,0,ethyl decanoate,ethyl linoleate,384.4
10.6006,8.836,0.8,11.9494,9.916,0.2,233.98,-1.65,0,ethyl laurate,ethyl myristate,405.9
10.6006,8.836,0.8,13.2982,10.996,0.2,239.59,-1.67,0,ethyl laurate,ethyl palmitate,407.9
10.6006,8.836,0.8,14.647,12.076,0.2,245.2,-1.67,0,ethyl laurate,ethyl stearate,408.3
10.6006,8.836,0.8,14.4149,11.863,0.2,244.8,-1.67,0,ethyl laurate,ethyl oleate,407.2
10.6006,8.836,0.8,14.1828,11.65,0.2,244.4,-1.67,0,ethyl laurate,ethyl linoleate,407.7
11.9494,9.916,0.8,13.2982,10.996,0.2,262.03,-3.93,0,ethyl myristate,ethyl palmitate,426.5
11.9494,9.916,0.8,14.647,12.076,0.2,267.65,-3.95,0,ethyl myristate,ethyl stearate,427.5
11.9494,9.916,0.8,14.4149,11.863,0.2,267.24,-3.95,0,ethyl myristate,ethyl oleate,426.1
11.9494,9.916,0.8,14.1828,11.65,0.2,266.84,-3.95,0,ethyl myristate,ethyl linoleate,427.8
2.5755,2.588,0.8,7.903,6.676,0.2,66.51,8.86,0,ethanol,ethyl octanoate,292.8
8.5462,7.096,0.8,7.903,6.676,0.2,170.72,2.93,0,dodecane,ethyl octanoate,353.5
2.5755,2.588,0.8,9.2518,7.756,0.2,72.12,8.86,0,ethanol,ethyl decanoate,292.7
8.5462,7.096,0.8,9.2518,7.756,0.2,176.33,2.7,0,dodecane,ethyl decanoate,356.8
2.5755,2.588,0.8,10.6006,8.836,0.2,77.73,8.86,0,ethanol,ethyl laurate,292.7
8.5462,7.096,0.8,10.6006,8.836,0.2,181.94,2.67,0,dodecane,ethyl laurate,357.5
2.5755,2.588,0.8,11.9494,9.916,0.2,83.34,8.86,0,ethanol,ethyl myristate,292.4
8.5462,7.096,0.8,11.9494,9.916,0.2,187.55,2.67,0,dodecane,ethyl myristate,357.5
2.5755,2.588,0.8,13.2982,10.996,0.2,88.95,8.86,0,ethanol,ethyl palmitate,292.4
8.5462,7.096,0.8,13.2982,10.996,0.2,187.55,2.67,0,dodecane,ethyl palmitate,357.5
2.5755,2.588,0.8,14.647,12.076,0.2,94.56,8.86,0,ethanol,ethyl stearate,293.4
8.5462,7.096,0.8,14.647,12.076,0.2,198.77,2.67,0,dodecane,ethyl stearate,357.5
2.5755,2.588,0.8,14.4149,11.863,0.2,94.16,8.86,0,ethanol,ethyl oleate,292.0
8.5462,7.096,0.8,14.4149,11.863,0.2,198.37,2.67,0,dodecane,ethyl oleate,355.4
2.5755,2.588,0.8,14.1828,11.65,0.2,93.75,8.86,0,ethanol,ethyl linoleate,292.4
8.5462,7.096,0.8,14.1828,11.65,0.2,197.97,2.67,0,dodecane,ethyl linoleate,357.5
2.5755,2.588,0.8,5.8486,4.936,0.2,54.9,8.908944,1,ethanol,octane,277.95
4.531,3.976,0.8,5.8486,4.936,0.2,104.55,6.075553,1,methyl butyrate,octane,282.25
4.531,3.976,0.8,2.5755,2.588,0.2,89.72,7.498633,1,methyl butyrate,ethanol,282.25
4.531,3.976,0.8,5.8486,4.936,0.2,104.55,6.046956,1,propyl acetate,octane,282.25
4.531,3.976,0.8,2.5755,2.588,0.2,89.718,7.491816,1,propyl acetate,ethanol,282.25
3.9243,3.668,0.8,7.903,6.676,0.2,93.75,6.7,0,butanol,ethyl octanoate,316.23
3.9243,3.668,0.8,9.2518,7.756,0.2,99.36,6.7,0,butanol,ethyl decanoate,316.62
3.9243,3.668,0.8,10.6006,8.836,0.2,104.97,6.7,0,butanol,ethyl laurate,314.95
3.9243,3.668,0.8,11.9494,9.916,0.2,110.58,6.7,0,butanol,ethyl myristate,316.33
3.9243,3.668,0.8,13.2982,10.996,0.2,116.19,6.7,0,butanol,ethyl palmitate,315.92
2.5755,2.588,0.9,5.8486,4.936,0.1,47.48,8.997529,1,ethanol,octane,278.75
4.531,3.976,0.9,5.8486,4.936,0.1,103.34,5.521407,1,methyl butyrate,octane,282.65
4.531,3.976,0.9,2.5755,2.588,0.1,95.92,6.84079,1,methyl butyrate,ethanol,282.15
4.531,3.976,0.9,5.8486,4.936,0.1,103.34,5.464624,1,propyl acetate,octane,282.65
4.531,3.976,0.9,2.5755,2.588,0.1,95.925,6.825925,1,propyl acetate,ethanol,282.15
2.5755,2.588,0.95,5.8486,4.936,0.05,43.78,9.039043,1,ethanol,octane,280.65
2.5755,2.588,0.97,5.8486,4.936,0.03,42.29,9.055178,1,ethanol,octane,282.25
2.5755,2.588,0.98,5.8486,4.936,0.02,41.55,9.063148,1,ethanol,octane,282.65
2.5755,2.588,0.99,5.8486,4.936,0.01,40.81,9.071056,1,ethanol,octane,284.85
8.5774,7.216,1.0,0.0,0.0,0.0,186.29,1.83,0,methyl decanoate,,374.7
7.2286,6.136,1.0,0.0,0.0,0.0,158.24,4.08,0,methyl octanoate,,348.6
9.9262,8.296,1.0,0.0,0.0,0.0,214.34,-0.43,0,methyl laurate,,398.4
11.275,9.376,1.0,0.0,0.0,0.0,242.4,-2.71,0,methyl myristate,,419.7
12.6238,10.456,1.0,0.0,0.0,0.0,270.45,-5.0,0,methyl palmitate,,440.3
13.9726,11.536,1.0,0.0,0.0,0.0,298.5,-7.3,0,methyl stearate,,455.5
13.7405,11.323,1.0,0.0,0.0,0.0,296.49,-6.92,0,methyl oleate,,445.8
7.903,6.676,1.0,0.0,0.0,0.0,172.26,3.07,0,ethyl octanoate,,354.0
11.9494,9.916,1.0,0.0,0.0,0.0,256.42,-3.73,0,ethyl myristate,,423.6
13.2982,10.996,1.0,0.0,0.0,0.0,284.48,-6.03,0,ethyl palmitate,,443.2
14.647,12.076,1.0,0.0,0.0,0.0,312.53,-8.33,0,ethyl stearate,,458.3
14.4149,11.863,1.0,0.0,0.0,0.0,310.51,-7.96,0,ethyl oleate,,453.1
14.1828,11.65,1.0,0.0,0.0,0.0,308.5,-7.58,0,ethyl linoleate,,453.1
9.2518,7.756,1.0,0.0,0.0,0.0,200.32,0.82,0,ethyl decanoate,,379.5
2.5755,2.588,1.0,0.0,0.0,0.0,40.07,9.08,0,ethanol,,288.5
8.5462,7.096,1.0,0.0,0.0,0.0,170.33,2.89,0,dodecane,,354.4
5.8486,4.936,1.0,0.0,0.0,0.0,114.23,7.557953,1,octane,,287.65
2.5755,2.588,1.0,0.0,0.0,0.0,40.07,9.078902,1,ethanol,,286.15
4.531,3.976,1.0,0.0,0.0,0.0,102.13,4.172583,1,methyl butyrate,,284.55
4.531,3.976,1.0,0.0,0.0,0.0,102.13,3.902982,1,propyl acetate,,284.55
3.9243,3.668,1.0,0.0,0.0,0.0,74.12,6.92,0,butanol,,314.0
