r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
11.9494,9.916,0.1,13.2982,10.996,0.9,281.67,-5.39,0,ethyl myristate,ethyl palmitate,439.9
11.9494,9.916,0.1,14.647,12.076,0.9,301.31,-5.3,0,ethyl myristate,ethyl stearate,447.4
11.9494,9.916,0.1,14.4149,11.863,0.9,305.11,-5.91,0,ethyl myristate,ethyl oleate,448.1
11.9494,9.916,0.1,14.1828,11.65,0.9,303.29,-5.86,0,ethyl myristate,ethyl linoleate,448.5
2.5755,2.588,0.1,5.8486,4.936,0.9,106.81,7.863713,1,ethanol,octane,278.35
4.531,3.976,0.1,5.8486,4.936,0.9,113.02,7.456348,1,methyl butyrate,octane,284.75
4.531,3.976,0.1,2.5755,2.588,0.9,46.27,8.974363,1,methyl butyrate,ethanol,282.85
4.531,3.976,0.1,5.8486,4.936,0.9,113.02,7.455462,1,propyl acetate,octane,284.65
4.531,3.976,0.1,2.5755,2.588,0.9,46.27,8.974169,1,propyl acetate,ethanol,282.95
3.9243,3.668,0.1,7.903,6.676,0.9,162.45,4.79,0,butanol,ethyl octanoate,337.18
3.9243,3.668,0.1,9.2518,7.756,0.9,187.7,4.64,0,butanol,ethyl decanoate,343.32
3.9243,3.668,0.1,10.6006,8.836,0.9,212.95,4.62,0,butanol,ethyl laurate,341.84
3.9243,3.668,0.1,11.9494,9.916,0.9,238.19,4.62,0,butanol,ethyl myristate,346.88
2.5755,2.588,0.18,8.5462,7.096,0.82,146.89,7.37,0,ethanol,dodecane,293.4
7.2286,6.136,0.2,8.5774,7.216,0.8,180.68,2.82,0,methyl octanoate,methyl decanoate,365.6
7.2286,6.136,0.2,9.9262,8.296,0.8,203.12,2.51,0,methyl octanoate,methyl laurate,376.3
7.2286,6.136,0.2,11.275,9.376,0.8,225.57,2.47,0,methyl octanoate,methyl myristate,380.1
7.2286,6.136,0.2,12.6238,10.456,0.8,248.01,2.47,0,methyl octanoate,methyl palmitate,382.6
7.2286,6.136,0.2,13.9726,11.536,0.8,270.45,2.47,0,methyl octanoate,methyl stearate,385.5
7.2286,6.136,0.2,13.7405,11.323,0.8,268.84,2.47,0,methyl octanoate,methyl oleate,383.1
8.5774,7.216,0.2,9.9262,8.296,0.8,208.73,0.57,0,methyl decanoate,methyl laurate,390.7
8.5774,7.216,0.2,11.275,9.376,0.8,231.18,0.26,0,methyl decanoate,methyl myristate,400.3
8.5774,7.216,0.2,12.6238,10.456,0.8,253.62,0.22,0,methyl decanoate,methyl palmitate,405.0
8.5774,7.216,0.2,13.9726,11.536,0.8,276.06,0.22,0,methyl decanoate,methyl stearate,408.6
8.5774,7.216,0.2,13.7405,11.323,0.8,274.45,0.22,0,methyl decanoate,methyl oleate,407.8
9.9262,8.296,0.2,11.275,9.376,0.8,236.79,-1.7,0,methyl laurate,methyl myristate,412.3
9.9262,8.296,0.2,12.6238,10.456,0.8,259.23,-2.0,0,methyl laurate,methyl palmitate,422.9
9.9262,8.296,0.2,13.9726,11.536,0.8,281.67,-2.04,0,methyl laurate,methyl stearate,427.3
9.9262,8.296,0.2,13.7405,11.323,0.8,280.06,-2.04,0,methyl laurate,methyl oleate,425.2
11.275,9.376,0.2,12.6238,10.456,0.8,264.84,-3.98,0,methyl myristate,methyl palmitate,434.9
11.275,9.376,0.2,13.9726,11.536,0.8,287.28,-4.28,0,methyl myristate,methyl stearate,442.4
11.275,9.376,0.2,13.7405,11.323,0.8,285.67,-4.26,0,methyl myristate,methyl oleate,436.8
12.6238,10.456,0.2,13.9726,11.536,0.8,292.89,-6.27,0,methyl palmitate,methyl stearate,449.9
7.903,6.676,0.2,10.6006,8.836,0.8,217.15,1.51,0,ethyl octanoate,ethyl laurate,381.5
7.903,6.676,0.2,11.9494,9.916,0.8,239.59,1.47,0,ethyl octanoate,ethyl myristate,386.3
7.903,6.676,0.2,13.2982,10.996,0.8,262.03,1.47,0,ethyl octanoate,ethyl palmitate,385.0
7.903,6.676,0.2,14.647,12.076,0.8,284.48,1.47,0,ethyl octanoate,ethyl stearate,390.0
7.903,6.676,0.2,14.4149,11.863,0.8,282.86,1.47,0,ethyl octanoate,ethyl oleate,388.8
7.903,6.676,0.2,14.1828,11.65,0.8,281.25,1.47,0,ethyl octanoate,ethyl linoleate,388.8
9.2518,7.756,0.2,11.9494,9.916,0.8,245.2,-0.75,0,ethyl decanoate,ethyl myristate,403.9
9.2518,7.756,0.2,13.2982,10.996,0.8,267.65,-0.79,0,ethyl decanoate,ethyl palmitate,411.7
9.2518,7.756,0.2,14.647,12.076,0.8,290.09,-0.79,0,ethyl decanoate,ethyl stearate,414.3
9.2518,7.756,0.2,14.4149,11.863,0.8,288.48,-0.79,0,ethyl decanoate,ethyl oleate,413.9
9.2518,7.756,0.2,14.1828,11.65,0.8,286.86,-0.79,0,ethyl decanoate,ethyl linoleate,414.0
10.6006,8.836,0.2,11.9494,9.916,0.8,250.81,-2.72,0,ethyl laurate,ethyl myristate,417.8
10.6006,8.836,0.2,13.2982,10.996,0.8,273.26,-3.02,0,ethyl laurate,ethyl palmitate,427.9
10.6006,8.836,0.2,14.647,12.076,0.8,295.7,-3.06,0,ethyl laurate,ethyl stearate,432.1
10.6006,8.836,0.2,14.4149,11.863,0.8,294.09,-3.05,0,ethyl laurate,ethyl oleate,430.8
