r_1,q_1,x_1,r_2,q_2,x_2,T,gamma_1,gamma_2
3.9228,2.968,0.4,3.1878,2.4,0.6,315,0.986364,0.992654
3.9228,2.968,0.6,3.1878,2.4,0.4,315,0.994358,0.984733
3.9228,2.968,0.8,3.1878,2.4,0.2,315,0.998685,0.974891
3.9228,2.968,1.0,3.1878,2.4,0.0,315,1.0,0.963631
4.4998,3.856,0.0,2.5755,2.588,1.0,305,7.6333,1.0
4.4998,3.856,0.2,2.5755,2.588,0.8,305,3.85989,1.07724
4.4998,3.856,0.4,2.5755,2.588,0.6,305,2.32881,1.33786
4.4998,3.856,0.6,2.5755,2.588,0.4,305,1.11247,5.28551
4.4998,3.856,0.8,2.5755,2.588,0.2,305,1.11242,5.28688
4.4998,3.856,1.0,2.5755,2.588,0.0,305,1.0,25.3703
4.4998,3.856,0.0,2.5755,2.588,1.0,310,7.54864,1.0
4.4998,3.856,0.2,2.5755,2.588,0.8,310,3.8263,1.07696
4.4998,3.856,0.4,2.5755,2.588,0.6,310,2.31236,1.33657
4.4998,3.856,0.6,2.5755,2.588,0.4,310,1.13497,4.63939
4.4998,3.856,0.8,2.5755,2.588,0.2,310,1.13491,4.64062
4.4998,3.856,1.0,2.5755,2.588,0.0,310,1.0,23.8488
4.4998,3.856,0.0,2.5755,2.588,1.0,315,7.46471,1.0
4.4998,3.856,0.2,2.5755,2.588,0.8,315,3.79283,1.07669
4.4998,3.856,0.4,2.5755,2.588,0.6,315,2.29596,1.33527
4.4998,3.856,0.6,2.5755,2.588,0.4,315,1.16474,4.03761
4.4998,3.856,0.8,2.5755,2.588,0.2,315,1.16467,4.0386
4.4998,3.856,1.0,2.5755,2.588,0.0,315,1.0,22.465
2.5755,2.588,0.0,4.4998,3.856,1.0,305,25.3703,1.0
2.5755,2.588,0.2,4.4998,3.856,0.8,305,5.28688,1.11242
2.5755,2.588,0.4,4.4998,3.856,0.6,305,5.28551,1.11247
2.5755,2.588,0.6,4.4998,3.856,0.4,305,1.33786,2.32881
2.5755,2.588,0.8,4.4998,3.856,0.2,305,1.07724,3.85989
2.5755,2.588,1.0,4.4998,3.856,0.0,305,1.0,7.6333
2.5755,2.588,0.0,4.4998,3.856,1.0,310,23.8488,1.0
2.5755,2.588,0.2,4.4998,3.856,0.8,310,4.64062,1.13491
2.5755,2.588,0.4,4.4998,3.856,0.6,310,4.63939,1.13497
2.5755,2.588,0.6,4.4998,3.856,0.4,310,1.33657,2.31236
2.5755,2.588,0.8,4.4998,3.856,0.2,310,1.07696,3.8263
2.5755,2.588,1.0,4.4998,3.856,0.0,310,1.0,7.54864
2.5755,2.588,0.0,4.4998,3.856,1.0,315,22.465,1.0
2.5755,2.588,0.2,4.4998,3.856,0.8,315,4.0386,1.16467
2.5755,2.588,0.4,4.4998,3.856,0.6,315,4.03761,1.16474
2.5755,2.588,0.6,4.4998,3.856,0.4,315,1.33527,2.29596
2.5755,2.588,0.8,4.4998,3.856,0.2,315,1.07669,3.79283
2.5755,2.588,1.0,4.4998,3.856,0.0,315,1.0,7.46471
